1,Sky Castle
2,Kampong Chill
3,MOSAIC
4,Island Waters
5,Roadside Beauties and Healing Remedies
6,Dari Pulau ke Pulau (From One Island to Another)
7,Awakening
8,ALIGHT Across the Sea
9,Cyberswordfish V2.0
10,Jiwa Laut
11,KU a Dreamer
12,Skygazers: Dreaming into the Past and Future
13,Two Sides of Our Island
14,UTOPIA
15,Waves of Time: Splash on Our Skyline
16,The Garden of Stories
17,Paradise Island
18,Retro District
19,SMU Arts Fest: 2560
20,Nila’s Shimmering Shores – An Immersive Story Room Adventure
21,The Island Dreamer
22,Shadow Puppetry Bayang Series
23,Waterloo Street Stories: Fortune Hands
24,The Tiger Hero 《武松打虎》
25,INterSPACE
26,The Monkey King and the Uproar in the Dragon Palace (Nanyang Edition) 《大聖閙龍宮 （南洋版）》
27,Our Songs, Our Stories: A Community Singalong of Xinyao and Folk Music
28,A Date with Tradition
29,All Things Singapore (AT SG) 2025
30,Echoes of the Bay: VR Narratives
31,Festival at the Fort 2025: Whispers of an Island
32,Light on the Hill - Island Celebrations
33,Island Nights
34,Waterloo Street Stories: Sound Plot Audio Plays Series
35,The Listening Biennial, Third Edition
36,The Old Waterloo Hauntings
37,Waterloo Street Stories: Familiar Strangers
38,For Real Fest
39,Waterloo Street Stories: Outdoor Photo Exhibition
40,A River Reborn
41,Fortune Food Paradise
42,Island of Stars
43,Lepak by the River
44,Paradise of Play
45,Songs of Nutmeg Trees
